PLAYER_NAME,PLAYER_HEIGHT,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PLAYER_ID
"A.J. Guyton",185.42,81.64656,Indiana,USA,2000,2,32,2062
"Aaron Brooks",182.88,73.028312,Oregon,USA,2007,1,26,201166
"Aaron Gordon",205.74,99.79024,Arizona,USA,2014,1,4,203932
"Aaron Gray",213.36,122.46984,Pittsburgh,USA,2007,2,49,201189
"Aaron Holiday",185.42,83.91452,UCLA,USA,2018,1,23,1628988
"Aaron McKie",195.58,94.800728,Temple,USA,1994,1,17,243
"Aaron Miles",185.42,86.18248,Kansas,USA,Undrafted,Undrafted,Undrafted,101223
"Aaron Williams",205.74,102.0582,Xavier,USA,Undrafted,Undrafted,Undrafted,1425
"Abdel Nader",198.12,104.32616,"Iowa State",Egypt,2016,2,58,1627846
"Acie Law",190.5,88.45044,"Texas A&M",USA,2007,1,11,201151
"Adam Mokoka",195.58,86.18248,None,France,Undrafted,Undrafted,Undrafted,1629690
"Adam Morrison",203.2,92.98636,Gonzaga,USA,2006,1,3,200747
"Admiral Schofield",195.58,109.315672,Tennessee,"United Kingdom",2019,2,42,1629678
"Adonal Foyle",208.28,113.398,Colgate,"St. Vincent & Grenadines",1997,1,8,1502
"Adrian Griffin",195.58,97.52228,"Seton Hall",USA,Undrafted,Undrafted,Undrafted,1559
"AJ Price",187.96,82.100152,Connecticut,USA,2009,2,52,201985
"Al Harrington",205.74,104.32616,None,USA,1998,1,25,1733
"Al Horford",208.28,111.13004,Florida,"Dominican Republic",2007,1,3,201143
"Al Jefferson",208.28,120.20188,None,USA,2004,1,15,2744
"Al Thornton",203.2,99.79024,"Florida State",USA,2007,1,14,201154
"Alan Anderson",198.12,99.79024,"Michigan State",USA,Undrafted,Undrafted,Undrafted,101187
"Alan Henderson",205.74,106.59412,Indiana,USA,1995,1,16,673
"Alando Tucker",198.12,92.98636,Wisconsin,USA,2007,1,29,201169
"Alec Burks",198.12,91.625584,Colorado,USA,2011,1,12,202692
"Aleksandar Radojevic",220.98,111.13004,"Barton Community College",USA,1999,1,12,1893
"Alen Smailagic",208.28,97.52228,None,Serbia,2019,2,39,1629346
"Alex Acker",195.58,83.91452,Pepperdine,USA,2005,2,60,101165
"Alex Caruso",195.58,84.368112,"Texas A&M",USA,Undrafted,Undrafted,Undrafted,1627936
"Alex Garcia",190.5,88.45044,None,USA,Undrafted,Undrafted,Undrafted,2682
"Alex Len",215.9,115.66596,Maryland,Ukraine,2013,1,5,203458
"Alex Scales",193.04,88.45044,Oregon,USA,Undrafted,Undrafted,Undrafted,2637
"Alexander Johnson",205.74,108.86208,"Florida State",USA,2006,2,45,200792
"Alexis Ajinca",213.36,99.79024,None,France,2008,1,20,201582
"Al-Farouq Aminu",205.74,97.52228,"Wake Forest",USA,2010,1,8,202329
"Alfonzo McKinnie",203.2,97.52228,None,USA,Undrafted,Undrafted,Undrafted,1628035
"Alize Johnson",205.74,96.161504,"Missouri State",USA,2018,2,50,1628993
"Allan Houston",198.12,90.7184,Tennessee,USA,1993,1,11,275
"Allan Ray",187.96,86.18248,Villanova,USA,Undrafted,Undrafted,Undrafted,200810
"Allen Crabbe",198.12,95.25432,California,USA,2013,2,31,203459
"Allen Iverson",182.88,74.84268,Georgetown,USA,1996,1,1,947
"Allonzo Trier",195.58,90.7184,Arizona,USA,Undrafted,Undrafted,Undrafted,1629019
"Alonzo Gee",198.12,99.79024,Alabama,USA,Undrafted,Undrafted,Undrafted,202087
"Alonzo Mourning",208.28,118.387512,Georgetown,USA,1992,1,2,297
"Alton Ford",205.74,124.7378,Houston,USA,2001,2,50,2228
"Alvin Williams",195.58,83.91452,Villanova,USA,1997,2,47,1541
"Amal McCaskill",210.82,106.59412,Marquette,USA,1996,2,49,1043
"Amar'e Stoudemire",208.28,111.13004,None,USA,2002,1,9,2405
"Amile Jefferson",205.74,100.697424,Duke,USA,Undrafted,Undrafted,Undrafted,1628518
"Amir Coffey",200.66,95.25432,None,USA,Undrafted,Undrafted,Undrafted,1629599
"Amir Johnson",205.74,95.25432,None,USA,2005,2,56,101161
"Anderson Varejao",208.28,104.32616,None,Brazil,2004,2,30,2760
"Andray Blatche",210.82,106.59412,None,USA,2005,2,49,101154
"Andre Barrett",177.8,78.471416,"Seton Hall",USA,Undrafted,Undrafted,Undrafted,2857
"Andre Brown",205.74,111.13004,DePaul,USA,Undrafted,Undrafted,Undrafted,2810
"Andre Drummond",208.28,122.46984,Connecticut,USA,2012,1,9,203083
"Andre Emmett",195.58,104.32616,"Texas Tech",USA,2004,2,35,2765
"Andre Iguodala",198.12,93.893544,Arizona,USA,2004,1,9,2738
"Andre Miller",187.96,92.079176,Utah,USA,1999,1,8,1889
"Andre Owens",193.04,90.7184,Houston,USA,Undrafted,Undrafted,Undrafted,101261
"Andrea Bargnani",213.36,113.398,None,Italy,2006,1,1,200745
"Andreas Glyniadakis",215.9,127.00576,None,USA,2003,2,58,2601
"Andrei Kirilenko",205.74,95.25432,None,Russia,1999,1,24,1905
"Andres Nocioni",200.66,102.0582,None,Argentina,Undrafted,Undrafted,Undrafted,2804
"Andrew Bogut",213.36,111.13004,Utah,Australia,2005,1,1,101106
"Andrew Bynum",213.36,124.7378,None,USA,2005,1,10,101115
"Andrew DeClercq",208.28,104.32616,Florida,USA,1995,2,34,692
"Andrew Goudelock",190.5,90.7184,"College of Charleston",USA,2011,2,46,202726
"Andrew Wiggins",203.2,90.264808,Kansas,Canada,2014,1,1,203952
"Andris Biedrins",210.82,108.86208,None,Latvia,2004,1,11,2740
"Anfernee Hardaway",200.66,97.52228,Memphis,USA,1993,1,3,358
"Anfernee Simons",193.04,83.91452,None,USA,2018,1,24,1629014
"Ansu Sesay",205.74,102.0582,Mississippi,USA,1998,2,30,1738
"Antawn Jamison",205.74,101.151016,"North Carolina",USA,1998,1,4,1712
"Ante Zizic",210.82,113.398,None,Croatia,2016,1,23,1627790
"Anthony Carter",185.42,86.18248,Hawaii,USA,Undrafted,Undrafted,Undrafted,1853
"Anthony Davis",208.28,99.79024,Kentucky,USA,2012,1,1,203076
"Anthony Goldwire",187.96,82.553744,Houston,USA,1994,2,52,924
"Anthony Grundy",190.5,83.91452,"North Carolina State",USA,Undrafted,Undrafted,Undrafted,101219
"Anthony Johnson",190.5,86.18248,"College of Charleston",USA,1997,2,39,1533
"Anthony Miller",205.74,115.66596,"Michigan State",USA,1994,2,39,292
"Anthony Morrow",195.58,95.25432,"Georgia Tech",USA,Undrafted,Undrafted,Undrafted,201627
"Anthony Parker",198.12,97.52228,Bradley,USA,1997,1,21,1515
"Anthony Peeler",193.04,94.347136,Missouri,USA,1992,1,15,324
"Anthony Randolph",208.28,95.25432,"Louisiana State",USA,2008,1,14,201576
"Anthony Roberson",187.96,81.64656,Florida,USA,Undrafted,Undrafted,Undrafted,101194
"Anthony Tolliver",203.2,108.86208,Creighton,USA,Undrafted,Undrafted,Undrafted,201229
"Antoine Walker",205.74,101.604608,Kentucky,USA,1996,1,6,952
"Antoine Wright",200.66,95.25432,"Texas A&M",USA,2005,1,15,101120
"Antonio Burks",182.88,88.45044,Memphis,USA,2004,2,36,2766
"Antonio Daniels",193.04,88.45044,"Bowling Green",USA,1997,1,4,1498
"Antonio Davis",205.74,104.32616,"Texas-El Paso",USA,1990,2,45,213
"Antonio McDyess",205.74,99.79024,Alabama,USA,1995,1,2,686
"Antonius Cleveland",198.12,88.45044,"S.E. Missouri",USA,Undrafted,Undrafted,Undrafted,1628499
"Anzejs Pasecniks",218.44,103.872568,None,Latvia,2017,1,25,1628394
"Armon Johnson",190.5,88.45044,Nevada,USA,2010,2,34,202356
"Aron Baynes",208.28,117.93392,"Washington State",Australia,Undrafted,Undrafted,Undrafted,203382
"Arron Afflalo",195.58,97.52228,UCLA,USA,2007,1,27,201167
"Arvydas Macijauskas",193.04,97.068688,None,Lithuania,Undrafted,Undrafted,Undrafted,101178
"Austin Croshere",205.74,106.59412,Providence,USA,1997,1,12,1506
"Austin Daye",210.82,90.7184,Gonzaga,USA,2009,1,15,201948
"Austin Rivers",193.04,90.7184,Duke,USA,2012,1,10,203085
"Avery Bradley",187.96,81.64656,Texas,USA,2010,1,19,202340
"Avery Johnson",180.34,81.64656,Southern,USA,Undrafted,Undrafted,Undrafted,422
"Awvee Storey",198.12,102.0582,"Arizona State",USA,Undrafted,Undrafted,Undrafted,2852
"Bam Adebayo",208.28,115.66596,Kentucky,USA,2017,1,14,1628389
"Baron Davis",190.5,95.25432,UCLA,USA,1999,1,3,1884
"Ben Gordon",190.5,90.7184,Connecticut,USA,2004,1,3,2732
"Ben Handlogten",208.28,108.86208,"Western Michigan",USA,Undrafted,Undrafted,Undrafted,1052
"Ben McLemore",195.58,88.45044,Kansas,USA,2013,1,7,203463
"Ben Simmons",208.28,104.32616,"Louisiana State",Australia,2016,1,1,1627732
"Ben Uzoh",190.5,92.98636,Tulsa,USA,Undrafted,Undrafted,Undrafted,202386
"Ben Wallace",205.74,108.86208,"Virginia Union",USA,Undrafted,Undrafted,Undrafted,1112
"Beno Udrih",190.5,90.7184,None,Slovenia,2004,1,28,2757
"Bernard Robinson",198.12,95.25432,Michigan,USA,2004,2,45,2774
"Billy Thomas",195.58,98.883056,Kansas,USA,Undrafted,Undrafted,Undrafted,2873
"Bimbo Coles",187.96,82.553744,"Virginia Tech",USA,1990,2,40,902
"Bismack Biyombo",205.74,111.13004,None,"Democratic Republic of the Congo",2011,1,7,202687
"BJ Johnson",200.66,90.7184,None,USA,Undrafted,Undrafted,Undrafted,1629168
"Blake Ahearn",187.96,86.18248,"Missouri State",USA,Undrafted,Undrafted,Undrafted,201336
"Blake Griffin",208.28,113.851592,Oklahoma,USA,2009,1,1,201933
"Bo Outlaw",203.2,95.25432,Houston,USA,Undrafted,Undrafted,Undrafted,448
"Bob Sura",195.58,90.7184,"Florida State",USA,1995,1,17,682
"Boban Marjanovic",220.98,131.54168,None,Serbia,Undrafted,Undrafted,Undrafted,1626246
"Bobby Brown",187.96,79.3786,"Cal State-Fullerton",USA,Undrafted,Undrafted,Undrafted,201628
"Bobby Jackson",185.42,83.91452,Minnesota,USA,1997,1,23,1517
"Bobby Jones",200.66,97.52228,Washington,USA,2006,2,37,200784
"Bobby Portis",210.82,104.32616,Arkansas,USA,2015,1,22,1626171
"Bobby Simmons",198.12,106.59412,DePaul,USA,2001,2,41,2250
"Bogdan Bogdanovic",198.12,92.98636,None,Serbia,2014,1,27,203992
"Bojan Bogdanovic",203.2,97.975872,None,Croatia,2011,2,31,202711
"Boniface Ndong",213.36,92.98636,None,Senegal,Undrafted,Undrafted,Undrafted,101238
"Bonzi Wells",195.58,95.25432,"Ball State",USA,1998,1,11,1719
"Boris Diaw",203.2,97.52228,None,France,2003,1,21,2564
"Bostjan Nachbar",205.74,100.243832,None,Slovenia,2002,1,15,2411
"Bracey Wright",190.5,95.25432,Indiana,USA,2005,2,47,101152
"Brad Miller",210.82,113.398,Purdue,USA,Undrafted,Undrafted,Undrafted,1802
"Brad Wanamaker",193.04,95.25432,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,202954
"Bradley Beal",195.58,93.893544,Florida,USA,2012,1,3,203078
"Brandan Wright",205.74,92.98636,"North Carolina",USA,2007,1,8,201148
"Brandin Knight",182.88,81.64656,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,2688
"Brandon Armstrong",195.58,85.275296,Pepperdine,USA,2001,1,23,2220
"Brandon Bass",203.2,108.86208,"Louisiana State",USA,2005,2,33,101138
"Brandon Clarke",203.2,97.52228,Gonzaga,Canada,2019,1,21,1629634
"Brandon Goodwin",187.96,81.64656,None,USA,Undrafted,Undrafted,Undrafted,1629164
"Brandon Hunter",200.66,117.93392,Ohio,USA,2003,2,56,2599
"Brandon Ingram",205.74,86.18248,Duke,USA,2016,1,2,1627742
"Brandon Jennings",185.42,76.657048,None,USA,2009,1,10,201943
"Brandon Knight",190.5,85.728888,Kentucky,USA,2011,1,8,202688
"Brandon Roy",198.12,103.872568,Washington,USA,2006,1,6,200750
"Brandon Rush",198.12,95.25432,Kansas,USA,2008,1,13,201575
"Brandon Williams",198.12,97.52228,Davidson,USA,Undrafted,Undrafted,Undrafted,1585
"Brendan Haywood",213.36,120.655472,"North Carolina",USA,2001,1,20,2217
"Brent Barry",198.12,88.45044,"Oregon State",USA,1995,1,15,699
"Brevin Knight",177.8,78.471416,Stanford,USA,1997,1,16,1510
"Brian Bowen II",198.12,86.18248,None,USA,Undrafted,Undrafted,Undrafted,1628968
"Brian Cardinal",203.2,111.13004,Purdue,USA,2000,2,44,2073
"Brian Cook",205.74,106.140528,Illinois,USA,2003,1,24,2567
"Brian Grant",205.74,115.212368,Xavier,USA,1994,1,8,258
"Brian Scalabrine",205.74,108.86208,"Southern California",USA,2001,2,34,2243
"Brian Skinner",205.74,115.66596,Baylor,USA,1998,1,22,1730
"Britton Johnsen",208.28,95.25432,Utah,USA,Undrafted,Undrafted,Undrafted,2639
"Brook Lopez",213.36,117.93392,Stanford,USA,2008,1,10,201572
"Bruce Bowen",200.66,90.7184,"Cal State-Fullerton",USA,Undrafted,Undrafted,Undrafted,1477
"Bruce Brown",195.58,91.625584,Miami,USA,2018,2,42,1628971
"Bruno Caboclo",205.74,92.98636,None,Brazil,2014,1,20,203998
"Bruno Fernando",205.74,108.86208,Maryland,Angola,2019,2,34,1628981
"Bruno Sundov",218.44,99.79024,None,Croatia,1998,2,35,1743
"Bryce Drew",190.5,83.91452,Valparaiso,USA,1998,1,16,1724
"Bryn Forbes",190.5,86.18248,"Michigan State",USA,Undrafted,Undrafted,Undrafted,1627854
"Bryon Russell",200.66,102.0582,"Long Beach State",USA,1993,2,45,935
"Buddy Hield",193.04,97.068688,Oklahoma,Bahamas,2016,1,6,1627741
"Byron Mullens",213.36,124.7378,"Ohio State",USA,2009,1,24,201957
"C.J. Watson",187.96,81.64656,Tennessee,USA,Undrafted,Undrafted,Undrafted,201228
"Calbert Cheaney",200.66,97.52228,Indiana,USA,1993,1,6,384
"Caleb Martin",195.58,92.98636,None,USA,Undrafted,Undrafted,Undrafted,1628997
"Caleb Swanigan",203.2,113.398,Purdue,USA,2017,1,26,1628403
"Calvin Booth",210.82,109.315672,"Penn State",USA,1999,2,35,1916
"Cam Reddish",203.2,98.883056,Duke,USA,2019,1,10,1629629
"Cameron Johnson",203.2,95.25432,"North Carolina",USA,2019,1,11,1629661
"Caris LeVert",200.66,92.079176,Michigan,USA,2016,1,20,1627747
"Carl Landry",205.74,112.490816,Purdue,USA,2007,2,31,201171
"Carlos Arroyo",187.96,91.625584,"Florida International","Puerto Rico",Undrafted,Undrafted,Undrafted,2306
"Carlos Boozer",205.74,127.00576,Duke,USA,2002,2,34,2430
"Carlos Delfino",198.12,104.32616,None,Argentina,2003,1,25,2568
"Carmelo Anthony",203.2,99.79024,Syracuse,USA,2003,1,3,2546
"Caron Butler",200.66,98.429464,Connecticut,USA,2002,1,10,2406
"Carsen Edwards",180.34,90.7184,Purdue,USA,2019,2,33,1629035
"Cartier Martin",200.66,99.79024,"Kansas State",USA,Undrafted,Undrafted,Undrafted,201858
"Casey Jacobsen",198.12,97.52228,Stanford,USA,2002,1,22,2418
"Cedi Osman",203.2,97.52228,None,Turkey,2015,2,31,1626224
"Cedric Bozeman",198.12,93.893544,UCLA,USA,Undrafted,Undrafted,Undrafted,200841
"Cedric Simmons",205.74,106.59412,"North Carolina State",USA,2006,1,15,200759
"Cezary Trybanski",218.44,108.86208,None,Poland,Undrafted,Undrafted,Undrafted,2456
"Chandler Hutchison",200.66,89.357624,"Boise State",USA,2018,1,22,1628990
"Chandler Parsons",205.74,102.965384,Florida,USA,2011,2,38,202718
"Channing Frye",210.82,112.490816,Arizona,USA,2005,1,8,101112
"Charles Brown Jr.",198.12,90.264808,None,USA,Undrafted,Undrafted,Undrafted,1629718
"Charles Jenkins",190.5,99.79024,Hofstra,USA,2011,2,44,202724
"Charles Oakley",205.74,111.13004,"Virginia Union",USA,1985,1,9,891
"Charles Smith",208.28,110.676448,Pittsburgh,USA,1988,1,3,1520
"Charlie Bell",190.5,90.7184,"Michigan State",USA,Undrafted,Undrafted,Undrafted,2294
"Charlie Villanueva",210.82,108.86208,Connecticut,USA,2005,1,7,101111
"Charlie Ward",187.96,86.18248,"Florida State",USA,1994,1,26,369
"Chase Budinger",200.66,98.883056,Arizona,USA,2009,2,44,201978
"Chauncey Billups",190.5,91.625584,Colorado,USA,1997,1,3,1497
"Cheick Diallo",205.74,99.79024,Kansas,Mali,2016,2,33,1627767
"Cheikh Samb",215.9,111.13004,None,USA,2006,2,51,200798
"Cherokee Parks",210.82,108.86208,Duke,USA,1995,1,12,685
"Chimezie Metu",208.28,102.0582,USC,USA,2018,2,49,1629002
"Chris Andersen",208.28,104.32616,Blinn,USA,Undrafted,Undrafted,Undrafted,2365
"Chris Bosh",208.28,95.25432,"Georgia Tech",USA,2003,1,4,2547
"Chris Boucher",208.28,90.7184,Oregon,Canada,Undrafted,Undrafted,Undrafted,1628449
"Chris Carr",198.12,99.79024,"Southern Illinois",USA,1995,2,56,713
"Chris Chiozza",182.88,79.3786,None,USA,Undrafted,Undrafted,Undrafted,1629185
"Chris Clemons",175.26,81.64656,None,USA,Undrafted,Undrafted,Undrafted,1629598
"Chris Crawford",205.74,106.59412,Marquette,USA,1997,2,50,1544
"Chris Douglas-Roberts",200.66,90.7184,Memphis,USA,2008,2,40,201604
"Chris Duhon",185.42,83.91452,Duke,USA,2004,2,38,2768
"Chris Hunter",210.82,108.86208,Michigan,USA,Undrafted,Undrafted,Undrafted,201805
"Chris Jefferies",203.2,97.52228,"Fresno State",USA,2002,1,27,2423
"Chris Johnson",210.82,95.25432,"Louisiana State",USA,Undrafted,Undrafted,Undrafted,202419
"Chris Kaman",213.36,121.562656,"Central Michigan",USA,2003,1,6,2549
"Chris McCray",195.58,87.089664,Maryland,USA,Undrafted,Undrafted,Undrafted,200840
"Chris Mihm",215.9,120.20188,Texas,USA,2000,1,7,2036
"Chris Mills",200.66,97.975872,Arizona,USA,1993,1,22,168
"Chris Paul",182.88,79.3786,"Wake Forest",USA,2005,1,4,101108
"Chris Quinn",187.96,83.91452,"Notre Dame",USA,Undrafted,Undrafted,Undrafted,200809
"Chris Richard",205.74,122.46984,Florida,USA,2007,2,41,201181
"Chris Silva",203.2,106.140528,"South Carolina",Gabon,Undrafted,Undrafted,Undrafted,1629735
"Chris Singleton",203.2,104.32616,"Florida State",USA,2011,1,18,202698
"Chris Taft",208.28,118.387512,Pittsburgh,USA,2005,2,42,101147
"Chris Webber",208.28,111.13004,Michigan,USA,1993,1,1,185
"Chris Whitney",182.88,77.11064,Clemson,USA,1993,2,47,43
"Chris Wilcox",208.28,100.243832,Maryland,USA,2002,1,8,2404
"Chris Wright",203.2,102.511792,Dayton,USA,Undrafted,Undrafted,Undrafted,202874
"Christian Eyenga",195.58,95.25432,None,Congo,2009,1,30,201963
"Christian Laettner",210.82,111.13004,Duke,USA,1992,1,3,363
"Christian Wood",210.82,99.79024,"Nevada-Las Vegas",USA,Undrafted,Undrafted,Undrafted,1626174
"Chuck Hayes",198.12,109.769264,Kentucky,USA,Undrafted,Undrafted,Undrafted,101236
"Chucky Atkins",180.34,72.57472,"South Florida",USA,Undrafted,Undrafted,Undrafted,1088
"CJ McCollum",193.04,90.7184,Lehigh,USA,2013,1,10,203468
"CJ Miles",198.12,95.25432,None,USA,2005,2,34,101139
"Clar. Weatherspoon",200.66,108.86208,"Southern Mississippi",USA,1992,1,9,221
"Clifford Robinson",208.28,102.0582,Connecticut,USA,1989,2,36,361
"Clint Capela",208.28,108.86208,None,Switzerland,2014,1,25,203991
"Coby Karl",195.58,97.52228,"Boise State",USA,Undrafted,Undrafted,Undrafted,201207
"Coby White",193.04,88.45044,"North Carolina",USA,2019,1,7,1629632
"Cody Martin",195.58,92.98636,Nevada-Reno,USA,2019,2,36,1628998
"Cody Zeller",213.36,108.86208,Indiana,USA,2013,1,4,203469
"Cole Aldrich",210.82,111.13004,Kansas,USA,2010,1,11,202332
"Collin Sexton",187.96,86.18248,Alabama,USA,2018,1,8,1629012
"Corey Brewer",205.74,83.91452,Florida,USA,2007,1,7,201147
"Corey Maggette",198.12,98.883056,Duke,USA,1999,1,13,1894
"Corie Blount",208.28,109.769264,Cincinnati,USA,1993,1,25,916
"Corliss Williamson",200.66,111.13004,Arkansas,USA,1995,1,13,722
"Corsley Edwards",205.74,124.7378,"Central Connecticut State",USA,2002,2,57,2451
"Cory Alexander",185.42,86.18248,Virginia,USA,1995,1,29,724
"Cory Higgins",195.58,81.64656,Colorado,USA,Undrafted,Undrafted,Undrafted,202809
"Cory Joseph",190.5,83.91452,Texas,Canada,2011,1,29,202709
"Courtney Alexander",195.58,92.98636,"Fresno State",USA,2000,1,13,2042
"Courtney Fortson",180.34,83.91452,Arkansas,USA,Undrafted,Undrafted,Undrafted,202622
"Courtney Lee",195.58,90.7184,"Western Kentucky",USA,2008,1,22,201584
"Courtney Sims",210.82,111.13004,Michigan,USA,Undrafted,Undrafted,Undrafted,201235
"Craig Brackins",208.28,104.32616,"Iowa State",USA,2010,1,21,202342
"Craig Smith",200.66,123.377024,"Boston College",USA,2006,2,36,200783
"Cristiano Felicio",208.28,124.7378,None,Brazil,Undrafted,Undrafted,Undrafted,1626245
"Curtis Borchardt",213.36,108.86208,Stanford,USA,2002,1,18,2414
"Cuttino Mobley",193.04,86.18248,"Rhode Island",USA,1998,2,41,1749
"D.J. Augustin",182.88,81.64656,Texas,USA,2008,1,9,201571
"D.J. Kennedy",195.58,97.068688,"St. John's (NY)",USA,Undrafted,Undrafted,Undrafted,202810
"D.J. Wilson",208.28,107.047712,Michigan,USA,2017,1,17,1628391
"Daequan Cook",195.58,92.98636,"Ohio State",USA,2007,1,21,201161
"Dahntay Jones",198.12,95.25432,Duke,USA,2003,1,20,2563
"Dajuan Wagner",190.5,90.7184,Memphis,USA,2002,1,6,2402
"Dale Davis",210.82,104.32616,Clemson,USA,1991,1,13,905
"Damian Jones",213.36,111.13004,Vanderbilt,USA,2016,1,30,1627745
"Damian Lillard",190.5,88.45044,"Weber State",USA,2012,1,6,203081
"Damien Wilkins",198.12,102.0582,Georgia,USA,Undrafted,Undrafted,Undrafted,2863
"Damion James",200.66,99.79024,Texas,USA,2010,1,24,202345
"Damion Lee",198.12,95.25432,Louisville,USA,Undrafted,Undrafted,Undrafted,1627814
"Damir Markota",208.28,102.0582,None,USA,2006,2,59,200806
"Damon Jones",190.5,83.91452,Houston,USA,Undrafted,Undrafted,Undrafted,1800
"Damon Stoudamire",177.8,77.564232,Arizona,USA,1995,1,7,757
"Damone Brown",203.2,91.625584,Syracuse,USA,2001,2,36,2245
"Damyean Dotson",195.58,95.25432,Houston,USA,2017,2,44,1628422
"Dan Dickau",182.88,86.18248,Gonzaga,USA,2002,1,28,2424
"Dan Gadzuric",210.82,108.86208,UCLA,Netherlands,2002,2,33,2429
"Dan Langhi",210.82,99.79024,Vanderbilt,USA,2000,2,31,2061
